"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BRA","GPENSION","MEN","PC_PRERETEARN","A","2016",69.5,
"CHN","GPENSION","MEN","PC_PRERETEARN","A","2014",74,
"CHN","GPENSION","MEN","PC_PRERETEARN","A","2016",76,
"IND","GPENSION","MEN","PC_PRERETEARN","A","2014",96.5,
"IND","GPENSION","MEN","PC_PRERETEARN","A","2016",87.4,
"IDN","GPENSION","MEN","PC_PRERETEARN","A","2014",13,
"IDN","GPENSION","MEN","PC_PRERETEARN","A","2016",62.1,
"RUS","GPENSION","MEN","PC_PRERETEARN","A","2014",75.2,
"RUS","GPENSION","MEN","PC_PRERETEARN","A","2016",33.7,
"SAU","GPENSION","MEN","PC_PRERETEARN","A","2014",59.6,
"SAU","GPENSION","MEN","PC_PRERETEARN","A","2016",59.6,
"ZAF","GPENSION","MEN","PC_PRERETEARN","A","2014",10.5,
"ZAF","GPENSION","MEN","PC_PRERETEARN","A","2016",16,
"OAVG","GPENSION","MEN","PC_PRERETEARN","A","2014",52.9,
"OAVG","GPENSION","MEN","PC_PRERETEARN","A","2016",52.9,
"EU28","GPENSION","MEN","PC_PRERETEARN","A","2014",59,
"EU28","GPENSION","MEN","PC_PRERETEARN","A","2016",58.3,
"HRV","GPENSION","MEN","PC_PRERETEARN","A","2016",104.9,
